scheme,bucket,scope,games,correct_predictions,accuracy,expected_accuracy,calibration_error,accuracy_ci_low,accuracy_ci_high,confidence_correctness_auc,confidence_error_spearman,calibration_intercept,calibration_slope,threshold,measure
cumulative_favorite_probability,>=0.55,combined,3706,2261,0.6100917431192661,0.5839999135197255,0.026091829599540595,0.594441446303292,0.6257420399352401,0.5389142508214358,0.06574732720955075,0.2099934918479428,0.7003476920775668,0.55,favorite_probability
cumulative_favorite_probability,>=0.55,2022,1025,642,0.6263414634146341,0.5824720697981528,0.043869393616481345,0.5970731707317073,0.655609756097561,0.513949553858292,0.02337729102030392,0.4841447198811738,0.09648348274291052,0.55,favorite_probability
cumulative_favorite_probability,>=0.55,2023,945,576,0.6095238095238096,0.5865909056146261,0.022932903909183455,0.5777777777777777,0.6412698412698413,0.5571316997892201,0.09655185629669258,-0.0916361443175869,1.5435431580813215,0.55,favorite_probability
cumulative_favorite_probability,>=0.55,2024,883,532,0.6024915062287656,0.5832325433583524,0.019258962870413177,0.5696489241223103,0.6353340883352209,0.5463498489814279,0.07857563434457349,0.16698138548020805,0.7404621925924711,0.55,favorite_probability
cumulative_favorite_probability,>=0.55,2025,853,511,0.5990621336459554,0.5837597495542188,0.015302384091736565,0.5662368112543963,0.6318874560375146,0.5409299504468934,0.06948748803167105,0.3004705907899664,0.2978331833525837,0.55,favorite_probability
cumulative_favorite_probability,>=0.6,combined,854,551,0.6451990632318502,0.629392177710987,0.01580688552086318,0.6135538641686183,0.6768149882903981,0.4919348559175336,-0.013367256884035214,0.917932022855723,-0.599272564949126,0.6,favorite_probability
cumulative_favorite_probability,>=0.6,2022,224,138,0.6160714285714286,0.6244768658804912,-0.008405437309062624,0.5535714285714286,0.6785714285714286,0.47514324233232225,-0.04187744525871533,0.9740441732017076,-0.9805635958186535,0.6,favorite_probability
cumulative_favorite_probability,>=0.6,2023,257,169,0.6575875486381323,0.6291431694358545,0.028444379202277825,0.5992217898832685,0.7120622568093385,0.5669042495965572,0.10997631909190969,-0.24454932142199903,1.7062903221978236,0.6,favorite_probability
cumulative_favorite_probability,>=0.6,2024,192,131,0.6822916666666666,0.6324861885066095,0.04980547816005709,0.6196614583333334,0.7447916666666666,0.44137154298585907,-0.09455931441731696,1.871542673927213,-2.0081455637188577,0.6,favorite_probability
cumulative_favorite_probability,>=0.6,2025,181,113,0.6243093922651933,0.6325467351915423,-0.008237342926348923,0.5524861878453039,0.6961325966850829,0.4411764705882353,-0.09868779219090687,1.4208907529546542,-1.6605819202971732,0.6,favorite_probability
