scope,games,accuracy,mean_favorite_probability,favorite_calibration_error,home_outcome_auc,favorite_confidence_correctness_auc,run_difference_correctness_auc,favorite_confidence_spearman,run_difference_spearman
combined,9719,0.5583907809445416,0.5464948342924294,0.011895946652112244,0.5829056194088037,0.5514622960582816,0.551146059423637,0.0885254146312955,0.08798142453859126
2022,2430,0.5740740740740741,0.5487172453535073,0.02535682872056677,0.5981895803922235,0.551434557512164,0.5520669056152927,0.08810421233449717,0.08918738548193222
2023,2430,0.5576131687242798,0.5478024407258365,0.009810727998443292,0.5798982644148032,0.5461185960696816,0.5459037157813439,0.07934770025800565,0.07897799566672502
2024,2429,0.5619596541786743,0.5449406568541469,0.017018997324527385,0.5885282023346515,0.5544245228455755,0.5541539287779889,0.09353947215431277,0.09307440190791018
2025,2430,0.5399176954732511,0.5445183546570342,-0.004600659183783162,0.5634911482050404,0.5516820105589249,0.5511631997469348,0.0892301464848979,0.08833440802094941
