feature_count,training_seconds,prediction_seconds,peak_memory_mb,training_time_relative,prediction_time_relative
20,0.022156399965751916,0.0019440000178292394,3.1213645935058594,0.2787638282869573,0.15058094649723588
30,0.02254540001740679,0.0037267999723553658,4.233223915100098,0.2836580865496153,0.28867544346516455
40,0.027877300046384335,0.0036106000188738108,5.347574234008789,0.35074212847062314,0.27967467246839994
50,0.03608590009389445,0.005114800063893199,6.466545104980469,0.45401977184488435,0.3961890060192447
60,0.034143100026994944,0.006399999954737723,7.578122138977051,0.42957616254543995,0.49573973350206313
80,0.04443210002500564,0.008990900008939207,9.808843612670898,0.5590286472958261,0.6964291259214355
100,0.052367799973580986,0.010056299972347915,12.038851737976074,0.6588727601129328,0.778954297432157
120,0.0616926999646239,0.010947699949610978,14.275465965270996,0.776195286512267,0.8480015459161214
150,0.06920899992110208,0.011056799965444952,17.614500999450684,0.8707626599871862,0.8564523604719195
173,0.07948090002173558,0.012909999990370125,20.17867946624756,1.0,1.0
